GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4483000","2262","317","437","518","28","12","8","8","1562","716","234"
"4466000","2","2","0","0","0","0","0","0","0","0","0"
"4467000","533","77","92","105","6","6","6","8","127","31","48"
"4468000","3902","521","667","935","32","45","13","15","839","140","364"
"4469000","3735","564","655","897","44","70","19","17","1132","245","345"
"4470000","217","10","37","47","4","0","3","3","89","23","5"
"4471000","402","38","68","45","7","3","1","1","190","93","13"
"4472000","2506","314","464","499","25","12","16","14","1151","579","166"
"4473000","3719","274","622","987","32","38","20","20","1426","561","144"
"4474000","2871","314","477","759","32","52","6","8","911","223","220"
"4475000","2477","194","472","373","25","14","14","15","961","336","126"
"4476000","4255","774","1066","401","63","8","32","31","2335","537","387"
"4477000","4558","607","849","881","54","43","17","10","1285","61","675"
"4478000","2965","261","587","401","36","15","18","14","1918","1027","145"
"4479000","5132","866","1123","643","68","19","41","44","3353","1242","334"
"4480000","3810","471","804","485","43","17","24","19","2612","1608","310"
"4481000","2444","208","374","551","22","63","15","14","1700","1135","189"
"4482000","4233","575","774","889","37","40","22","19","2525","960","594"
"4483000","1308","79","151","522","8","12","10","9","935","772","93"
"4484000","32","3","5","6","0","0","0","0","4","0","7"
"4466000","475","22","87","47","1","0","3","3","275","133","12"
"4467000","35","3","2","6","0","0","0","0","20","7","2"
"4468000","1327","143","264","233","16","12","5","8","418","156","96"
"4469000","2674","243","451","545","26","28","17","17","955","204","131"
"4470000","1011","48","163","221","12","6","5","6","577","428","20"
"4471000","61","0","9","6","0","5","0","0","20","0","2"
"4472000","1989","94","380","391","10","10","13","12","974","565","68"
"4473000","3853","428","794","499","47","45","24","22","1132","332","273"
"4474000","2801","705","495","330","36","15","17","17","1189","291","470"
"4475000","2086","271","413","311","38","11","15","13","616","162","152"
"4476000","378","52","75","73","8","9","1","1","102","4","37"
"4477000","897","86","194","183","11","7","10","8","539","183","49"
"4478000","4951","724","1007","808","59","24","36","32","2608","1023","442"
"4479000","4887","567","980","913","55","28","28","22","3036","1495","363"
"4480000","3199","275","659","372","27","12","16","15","2206","1409","169"
"4481000","2795","218","429","457","21","11","12","10","2012","1571","220"
"4482000","5049","492","792","968","34","19","28","26","3306","1839","507"
"4483000","1473","152","176","307","13","2","8","8","957","674","96"
"4463000","9","0","1","1","0","0","0","0","5","7","0"
"4465000","20","3","2","8","0","1","0","0","6","4","0"
"4466000","2774","305","530","623","33","42","19","19","1080","402","172"
"4467000","2225","178","391","312","16","7","11","11","1107","346","68"
"4468000","850","52","131","191","8","5","8","8","504","241","15"
"4469000","635","36","103","138","3","6","0","1","400","221","20"
"4470000","2227","257","350","419","29","31","16","14","999","368","111"
"4471000","1085","59","172","264","8","12","6","6","548","328","19"
"4472000","902","52","219","101","12","3","3","5","487","193","26"
"4473000","2195","229","344","580","17","96","7","7","687","273","130"
"4474000","783","105","149","142","5","6","0","0","133","9","82"
"4475000","1941","155","373","416","22","53","5","7","862","335","88"
"4476000","2865","282","613","368","28","16","18","16","1344","577","185"
"4477000","4397","929","942","687","62","29","30","31","2227","585","397"
"4478000","5162","678","971","1032","51","52","24","23","2334","730","503"
"4479000","3418","437","662","513","37","12","21","26","2251","1175","215"
"4480000","3196","206","531","689","23","39","11","10","2129","1332","211"
"4481000","3250","235","479","623","20","22","18","15","2328","1702","203"
"4482000","3354","257","470","736","20","19","12","12","2470","1879","306"
"4483000","1900","123","203","654","11","23","10","11","1227","904","148"
"4464000","16","3","1","2","0","0","0","0","9","2","1"
"4465000","11","2","2","1","1","0","0","0","0","3","0"
"4466000","999","36","166","162","9","3","3","3","642","348","16"
"4467000","1278","84","222","244","8","4","9","8","634","378","38"
"4468000","157","10","25","20","2","2","0","0","98","62","11"
"4469000","10","2","0","0","0","0","0","0","7","4","0"
"4470000","339","15","48","73","5","2","4","4","254","206","9"
"4471000","1905","93","313","334","15","7","3","3","1213","643","45"
"4472000","502","22","84","84","8","6","4","4","256","129","22"
"4473000","1363","129","238","243","14","4","8","6","703","339","97"
"4474000","2017","317","527","197","44","11","12","14","746","65","362"
"4475000","3125","299","598","536","23","28","13","10","1412","615","146"
"4476000","3689","268","764","532","44","14","26","24","2222","930","103"
"4477000","3610","479","709","599","31","26","21","20","1707","662","127"
"4478000","1625","150","342","326","15","51","10","9","690","391","178"
"4479000","2688","537","611","403","33","12","12","16","1262","390","465"
"4480000","2178","178","343","426","25","40","9","10","1556","1088","222"
"4481000","2288","180","444","279","21","7","12","10","1689","1398","336"
"4482000","4123","356","619","1107","36","33","17","14","2790","1677","318"
"4483000","821","70","108","149","10","2","6","8","598","582","72"
"4484000","11","0","2","3","0","0","1","1","5","11","0"
"4473000","385","28","63","57","6","2","2","2","277","219","6"
"4474000","3082","305","567","681","37","83","13","13","1716","913","221"
"4475000","3415","411","672","708","37","23","18","18","1974","795","228"
"4476000","3427","549","584","630","32","52","14","12","2213","1069","326"
"4477000","3921","427","776","675","43","28","16","15","2662","1579","265"
"4478000","3519","698","723","593","35","22","30","27","2044","673","303"
"4479000","3016","405","556","671","35","19","15","13","1835","808","300"
"4480000","2033","134","340","425","23","34","12","12","1315","1068","205"
"4481000","2219","127","370","397","21","9","6","7","1644","1504","158"
